name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
abuja,2022-09-01,24.4,22,23.2,24.4,22,23.2,21.7,91.2,7,100,4.17,rain,0,0,17.4,10.3,292.9,1014.9,61.3,6.1,82,7,4,,2022-09-01T06:21:24,2022-09-01T18:38:45,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"65125099999,DNAA,65112599999"
abuja,2022-09-02,26,22,23,26,22,23,22,94.3,26,100,8.33,rain,0,0,14.3,9.2,243.2,1015.7,72.2,5,42.1,3.8,2,,2022-09-02T06:21:19,2022-09-02T18:38:11,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"65125099999,DNAA,65112599999,remote"
abuja,2022-09-03,29,20.5,24.4,32,20.5,25.1,21.6,85.8,0.9,100,16.67,rain,0,0,13.6,18,251,1015.3,59.7,6.2,175.5,15.2,6,,2022-09-03T06:21:14,2022-09-03T18:37:37,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"65125099999,DNAA,65112599999,remote"
abuja,2022-09-04,30,22.8,25.9,34.1,22.8,27.4,22.7,83.6,4.9,100,29.17,rain,0,0,15.2,6.9,231.7,1015.2,63.2,6.2,220.7,18.9,8,,2022-09-04T06:21:09,2022-09-04T18:37:03,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"65125099999,DNAA,65112599999,remote"
abuja,2022-09-05,30,22.1,26.3,35.1,22.1,27.9,23,83.2,0.3,100,4.17,rain,0,0,13,9.2,217.8,1015.7,58.5,6.3,218.9,18.8,8,,2022-09-05T06:21:03,2022-09-05T18:36:28,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"65125099999,DNAA,65112599999,remote"
abuja,2022-09-06,27,23,24.6,29.6,23,24.7,22.9,90.1,0.3,100,4.17,rain,0,0,11.4,12.8,252.9,1014.7,67.3,6.1,111.4,9.8,4,,2022-09-06T06:20:58,2022-09-06T18:35:54,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"65125099999,DNAA,65112599999,remote"
abuja,2022-09-07,29,22,24.9,32.7,22,25.9,22.4,86.3,7.4,100,45.83,rain,0,0,11.6,9.2,285.7,1013.5,53,6.3,101.7,8.9,5,,2022-09-07T06:20:52,2022-09-07T18:35:19,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"65125099999,DNAA,65112599999"
abuja,2022-09-08,31,22,26.1,34.7,22,27.6,22.3,81.5,0.5,100,16.67,rain,0,0,14.5,8.1,264,1012.7,61.6,6.2,208.2,18.1,8,,2022-09-08T06:20:46,2022-09-08T18:34:43,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"65125099999,DNAA,65112599999,remote"
abuja,2022-09-09,27,23,25.1,29.6,23,25.4,22.9,88.2,0.8,100,4.17,rain,0,0,13.2,9.2,236.7,1014.2,75.2,6.1,133.5,11.5,5,,2022-09-09T06:20:40,2022-09-09T18:34:08,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"65125099999,DNAA,65112599999"
abuja,2022-09-10,26,21.1,23.8,26,21.1,23.8,22.3,91.1,17.6,100,75,rain,0,0,19.9,12.8,257.4,1014.9,83.9,6.2,93.7,8,3,,2022-09-10T06:20:34,2022-09-10T18:33:32,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"65125099999,DNAA,65112599999,remote"
