name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations,date,city,source,temp_avg,temp_max,temp_min,pressure
abuja,2026-03-26,34.7,24.6,28.1,35.3,24.6,28.6,19.1,59.7,1.8,25.8,12.5,rain,0.0,0.0,18.8,10.3,174.1,1006.4,58.9,14.9,201.5,17.4,9.0,30.0,2026-03-26T06:30:59,2026-03-26T18:40:42,0.26,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,,,,,,,,
,,,,,37.2,28.1,33.0,19.6,52.0,0.1,100.0,4.17,['rain'],0.0,0.0,29.2,17.6,197.9,,78.8,19.4,254.9,21.9,9.0,30.0,06:30:26,18:40:39,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"['DNAA', 'remote']",2026-03-27,Abuja,visual_crossing_api,31.3,36.6,27.0,
,,,,,39.4,26.1,33.6,20.4,55.1,0.7,100.0,4.17,['rain'],0.0,0.0,30.2,9.4,243.7,,67.7,24.1,271.4,23.4,9.0,30.0,06:29:53,18:40:36,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,['remote'],2026-03-28,Abuja,visual_crossing_api,31.5,38.2,26.1,
,,,,,36.3,25.7,31.1,19.3,54.4,0.0,0.0,0.0,None,0.0,0.0,37.1,13.3,235.6,,69.9,24.1,270.1,23.3,9.0,30.0,06:29:19,18:40:33,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['remote'],2026-03-29,Abuja,visual_crossing_api,30.1,35.1,25.7,
,,,,,36.2,25.1,30.7,19.3,55.2,0.8,100.0,20.83,['rain'],0.0,0.0,30.6,11.2,221.2,,80.0,24.1,257.9,22.2,9.0,10.0,06:28:46,18:40:30,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,['remote'],2026-03-30,Abuja,visual_crossing_api,29.7,35.4,25.1,
,,,,,31.7,23.2,26.7,18.9,65.2,2.6,100.0,20.83,['rain'],0.0,0.0,28.4,9.0,100.8,,98.9,21.7,124.5,10.7,6.0,10.0,06:28:14,18:40:27,0.44,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,['remote'],2026-03-31,Abuja,visual_crossing_api,26.5,31.6,23.2,
,,,,,37.6,24.1,31.1,18.3,50.5,0.0,0.0,0.0,None,0.0,0.0,18.7,9.0,266.8,,78.4,24.1,269.6,23.5,10.0,10.0,06:27:41,18:40:24,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['remote'],2026-04-01,Abuja,visual_crossing_api,30.3,35.7,24.1,
,,,,,33.9,24.5,28.4,18.3,57.3,1.6,100.0,16.67,['rain'],0.0,0.0,26.3,27.7,199.7,,94.7,21.3,185.0,16.0,9.0,30.0,06:27:08,18:40:21,0.5,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"['DNAA', 'remote']",2026-04-02,Abuja,visual_crossing_api,28.0,33.9,24.5,
,,,,,35.2,22.5,28.7,17.9,56.7,0.1,100.0,4.17,['rain'],0.0,0.0,21.2,22.3,170.6,,67.4,20.6,298.7,26.0,10.0,10.0,06:26:36,18:40:19,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"['DNAA', 'remote']",2026-04-03,Abuja,visual_crossing_api,28.4,33.9,22.5,
,,,,,34.4,24.4,29.8,18.5,54.6,1.3,100.0,29.17,['rain'],0.0,0.0,18.4,13.0,222.7,,82.2,20.6,228.1,19.8,10.0,10.0,06:26:03,18:40:16,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['DNAA', 'remote']",2026-04-04,Abuja,visual_crossing_api,29.0,33.6,24.4,
,,,,,36.4,25.3,30.7,17.4,48.3,0.7,100.0,8.33,['rain'],0.0,0.0,14.4,11.2,214.4,,67.5,24.1,242.0,20.7,10.0,30.0,06:25:31,18:40:14,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,['remote'],2026-04-05,Abuja,visual_crossing_api,30.5,36.8,25.3,
,,,,,39.2,27.8,31.9,17.9,47.4,0.5,100.0,16.67,['rain'],0.0,0.0,30.2,17.6,214.5,,85.0,22.3,269.0,23.2,10.0,30.0,06:24:59,18:40:12,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['DNAA', 'remote']",2026-04-06,Abuja,visual_crossing_api,30.9,37.4,27.1,
,,,,,41.8,25.7,32.1,19.2,53.2,0.0,0.0,0.0,None,0.0,0.0,25.6,15.5,212.4,,83.4,20.6,270.4,23.3,10.0,30.0,06:24:28,18:40:10,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['DNAA', 'remote']",2026-04-07,Abuja,visual_crossing_api,30.7,37.2,25.7,
